Player,Player ID
Tariq Abdul-Wahad,1505
Shareef Abdur-Rahim,949
Cory Alexander,724
Ray Allen,951
Rafer Alston,1747
John Amaechi,680
Derek Anderson,1507
Kenny Anderson,72
Nick Anderson,98
Shandon Anderson,1000
Chris Anstey,1512
Greg Anthony,21
Darrell Armstrong,353
Chucky Atkins,1088
Stacey Augmon,278
Anthony Avent,138
William Avery,1895
Toby Bailey,1753
Vin Baker,452
Charles Barkley,787
Dana Barros,344
Brent Barry,699
Drew Barry,1003
Jon Barry,468
Tony Battie,1499
Jonathan Bender,1886
Benoit Benjamin,104
Corey Benjamin,1736
Travis Best,696
Mike Bibby,1710
Chauncey Billups,1497
Mookie Blaylock,302
Corie Blount,916
Muggsy Bogues,177
Calvin Booth,1916
Lazaro Borrell,1953
Cal Bowdler,1898
Bruce Bowen,1477
Ryan Bowen,1763
Ira Bowman,1085
Earl Boykins,1863
Shawn Bradley,762
A.J. Bramlett,1920
Elton Brand,1882
Terrell Brandon,210
Chucky Brown,359
Dee Brown,244
Marcus Brown,992
Randy Brown,753
Rick Brunson,1594
Kobe Bryant,977
Mark Bryant,95
Greg Buckner,1761
Jud Buechler,146
Rodney Buford,1934
Matt Bullard,672
Scott Burrell,197
Jason Caffey,679
Michael Cage,262
Marcus Camby,948
Elden Campbell,922
Antoine Carr,156
Chris Carr,713
Anthony Carter,1853
Vince Carter,1713
Sam Cassell,208
Kelvin Cato,1509
Duane Causwell,190
Cedric Ceballos,76
John Celestand,1911
Rex Chapman,364
Calbert Cheaney,384
Pete Chilcutt,432
Chris Childs,164
Doug Christie,57
Keon Clark,1721
Keith Closs,1569
Derrick Coleman,934
Bimbo Coles,902
Marty Conlon,55
Tyrone Corbin,895
Chris Crawford,1544
Austin Croshere,1506
John Crotty,180
Terry Cummings,187
Vonteego Cummings,1907
Bill Curley,223
Dell Curry,209
Michael Curry,688
Erick Dampier,956
Antonio Daniels,1498
Antonio Davis,213
Baron Davis,1884
Ben Davis,989
Dale Davis,905
Emanual Davis,1023
Hubert Davis,93
Mark Davis,707
Ricky Davis,1729
Todd Day,103
Andrew DeClercq,692
Vinny Del Negro,219
Tony Delk,960
Derrick Dial,1760
Michael Dickerson,1722
Vlade Divac,124
Michael Doleac,1720
Sherman Douglas,428
Bryce Drew,1724
Chris Dudley,201
Tim Duncan,1495
Howard Eisley,458
Obinna Ekezie,1918
Mario Elie,53
Sean Elliott,251
Dale Ellis,107
LaPhonso Ellis,111
Pervis Ellison,442
Evan Eschmeyer,1915
Patrick Ewing,121
Tony Farmer,1108
Jamie Feick,994
Danny Ferry,198
Michael Finley,714
Derek Fisher,965
Danny Fortson,1504
Greg Foster,323
Jeff Foster,1902
Rick Fox,296
Adonal Foyle,1502
Steve Francis,1883
Todd Fuller,957
Lawrence Funderburke,1444
Kevin Garnett,708
Dean Garrett,1051
Pat Garrity,1727
Chris Gatling,423
Matt Geiger,761
Devean George,1904
Kendall Gill,383
Armen Gilliam,288
Dion Glover,1901
Brian Grant,258
Gary Grant,202
Horace Grant,270
Devin Gray,1070
A.C. Green,920
Adrian Griffin,1559
Tom Gugliotta,339
Darvin Ham,1032
Richard Hamilton,1888
Thomas Hamilton,676
Tom Hammonds,67
Anfernee Hardaway,358
Tim Hardaway,896
Ron Harper,166
Matt Harpring,1723
Al Harrington,1733
Othella Harrington,970
Lucious Harris,446
Antonio Harvey,176
Hersey Hawkins,765
Michael Hawkins,1138
Alan Henderson,673
Cedric Henderson,1538
Mark Hendrickson,971
Chris Herren,1914
Grant Hill,255
Tyrone Hill,238
Fred Hoiberg,697
Derek Hood,1967
Jeff Hornacek,204
Robert Horry,109
Allan Houston,275
Juwan Howard,436
Troy Hudson,1607
Larry Hughes,1716
Rick Hughes,77076
Lindsey Hunter,283
Allen Iverson,947
Bobby Jackson,1517
Jermaine Jackson,1983
Jim Jackson,754
Mark Jackson,349
Randell Jackson,1872
Sam Jacobson,1734
Tim James,1906
Antawn Jamison,1712
Harold Jamison,1942
Anthony Johnson,1533
Avery Johnson,422
DeMarco Johnson,1746
Ervin Johnson,911
Larry Johnson,913
Charles Jones,279
Damon Jones,1800
Eddie Jones,224
Jumaine Jones,1908
Reggie Jordan,674
Adam Keefe,228
Shawn Kemp,431
Steve Kerr,70
Jerome Kersey,760
Lari Ketner,1930
Jason Kidd,467
Gerard King,1562
Kerry Kittles,954
Joe Kleine,170
Brevin Knight,1510
Travis Knight,969
Christian Laettner,363
Raef LaFrentz,1711
Andrew Lang,457
Trajan Langdon,1892
Tim Legler,100
Voshon Lenard,702
Quincy Lewis,1900
Rashard Lewis,1740
Randy Livingston,988
Grant Long,3
Luc Longley,26
Tyronn Lue,1731
George Lynch,248
Todd MacCulloch,1928
Sam Mack,694
Don MacLean,931
Corey Maggette,1894
Dan Majerle,105
Karl Malone,252
Matt Maloney,1074
Danny Manning,330
Stephon Marbury,950
Shawn Marion,1890
Sean Marks,1752
Donyell Marshall,923
Darrick Martin,239
Jamal Mashburn,469
Anthony Mason,193
Tony Massenburg,763
Vernon Maxwell,137
Walter McCarty,962
George McCloud,45
Jelani McCoy,1741
Antonio McDyess,686
Tracy McGrady,1503
Jim McIlvaine,29
Jeff McInnis,976
Derrick McKey,365
Aaron McKie,243
Roshown McLeod,1728
Ron Mercer,1500
Andre Miller,1889
Anthony Miller,292
Brad Miller,1802
Oliver Miller,932
Reggie Miller,397
Chris Mills,168
Terry Mills,371
Jason Miskiri,1954
Sam Mitchell,417
Cuttino Mobley,1749
Nazr Mohammed,1737
Eric Montross,376
Mikki Moore,1630
Alonzo Mourning,297
Chris Mullin,904
Eric Murdock,785
Lamond Murray,441
Tracy Murray,145
Dikembe Mutombo,87
Steve Nash,959
Tyrone Nesby,1838
Johnny Newman,271
Dirk Nowitzki,1717
Jermaine O'Neal,979
Shaquille O'Neal,406
Charles Oakley,891
Lamar Odom,1885
Hakeem Olajuwon,165
Kevin Ollie,1563
Michael Olowokandi,1709
Greg Ostertag,731
Bo Outlaw,448
Doug Overton,77
Billy Owens,182
Robert Pack,123
Scott Padgett,1909
Milt Palacio,1960
Anthony Parker,1515
Cherokee Parks,685
Andrae Patterson,1754
Ruben Patterson,1739
Gary Payton,56
Anthony Peeler,324
Will Perdue,781
Sam Perkins,64
Elliot Perry,386
Chuck Person,456
Wesley Person,445
Bobby Phills,184
Eric Piatkowski,15
Paul Pierce,1718
Scottie Pippen,937
Scot Pollard,1513
Olden Polynice,178
Terry Porter,345
James Posey,1899
Vitaly Potapenko,958
Brent Price,85
Laron Profit,1919
Theo Ratliff,689
Eldridge Recasner,695
Bryant Reeves,735
Khalid Reeves,234
Don Reid,690
J.R. Reid,462
Rodrick Rhodes,1518
Glen Rice,779
Mitch Richmond,782
Isaiah Rider,375
Stanley Roberts,914
Ryan Robertson,1926
Clifford Robinson,361
David Robinson,764
Eddie Robinson,1944
Glenn Robinson,299
Carlos Rogers,435
Rodney Rogers,915
Roy Rogers,964
Sean Rooks,399
Jalen Rose,147
Malik Rose,990
Michael Ruffin,1913
Bryon Russell,935
Arvydas Sabonis,717
John Salley,927
Detlef Schrempf,96
Dennis Scott,192
Malik Sealy,907
Brian Shaw,216
Dickey Simpkins,54
Brian Skinner,1730
Joe Smith,693
Michael Smith,63
Rik Smits,22
Eric Snow,727
Felton Spencer,280
Latrell Sprewell,84
Ryan Stack,1756
Jerry Stackhouse,711
John Starks,317
Vladimir Stepania,1735
Joe Stephens,1086
Michael Stewart,1565
Bryant Stith,179
John Stockton,304
Damon Stoudamire,757
Erick Strickland,1065
Mark Strickland,1110
Rod Strickland,393
Derek Strong,400
Bob Sura,682
Wally Szczerbiak,1887
Johnny Taylor,1511
Maurice Taylor,1508
Jason Terry,1891
Jamel Thomas,1975
John Thomas,1519
Kenny Thomas,1903
Kurt Thomas,703
Tim Thomas,1501
Otis Thorpe,901
Robert Traylor,1714
Gary Trent,718
Wayne Turner,1943
Nick Van Exel,89
Keith Van Horn,1496
Jacque Vaughn,1521
Loy Vaught,919
Fred Vinson,1844
Antoine Walker,952
Samaki Walker,955
Ben Wallace,1112
John Wallace,961
Rasheed Wallace,739
Rex Walters,777
Charlie Ward,369
Chris Webber,185
Bonzi Wells,1719
Bill Wennington,82
David Wesley,133
Doug West,28
Mark West,770
Jahidi White,1751
Chris Whitney,43
Aaron Williams,1425
Alvin Williams,1541
Eric Williams,677
Jason Williams,1715
Jerome Williams,966
Lorenzo Williams,31
Monty Williams,42
Scott Williams,281
Shammond Williams,1742
Walt Williams,1005
Corliss Williamson,722
Kevin Willis,788
Dedric Willoughby,2000
David Wingate,766
Haywoode Workman,906
Metta World Peace,1897
Lorenzen Wright,953
Tim Young,1937
Mahmoud Abdul-Rauf,51
Courtney Alexander,2042
Erick Barkley,2057
David Benoit,128
Mark Blount,1548
Etdrick Bohannon,1564
Brian Cardinal,2073
Mateen Cleaves,2043
Jason Collier,2044
Jamal Crawford,2037
Terry Davis,426
Keyon Dooling,2039
Tyus Edney,721
Kevin Edwards,236
Khalid El-Amin,2064
Marcus Fizer,2033
Zendon Hamilton,1985
Jason Hart,2078
Donnell Harvey,2051
Eddie House,2067
Zydrunas Ilgauskas,980
Marc Jackson,1531
Stephen Jackson,1536
DerMarr Johnson,2035
Popeye Jones,461
Garth Joseph,2123
Dan Langhi,2061
Mark Madsen,2058
Jamaal Magloire,2048
Kenyon Martin,2030
Desmond Mason,2046
Paul McPherson,2101
Chris Mihm,2036
Darius Miles,2032
Mike Miller,2034
Lee Nailon,1924
Ira Newble,1956
Moochie Norris,983
Olumide Oyedeji,2071
Mike Penberthy,2130
Morris Peterson,2050
Mark Pope,998
Chris Porter,2084
Lavor Postell,2068
Joel Przybilla,2038
Michael Redd,2072
Quentin Richardson,2047
Terrance Roberson,2121
Jamal Robinson,1554
James Robinson,381
Larry Robinson,1683
Soumaila Samake,2066
